app,contentDescription,addCaptioningChangeListener,getFontScale,getLocale,getUserStyle,isEnabled,removeCaptioningChangeListener,screenOrientation,inputType,inputMethod,phoneNumber,password,numeric,digits,autoText,editable,background,textColor,autoSizeTextType,textSize,textScaleX,autoSizeMaxTextSize,autoSizeMinTextSize,autoSizePresetSizes,lineSpacingMultiplier,lineSpacingExtra,letterSpacing,animateLayoutChanges,nextFocusForward,nextFocusUp,nextFocusDown,nextFocusLeft,nextFocusRight,accessibilityPaneTitle,accessibilityTraversalBefore,accessibilityTraversalAfter,accessibilityHeading,cursorVisible,minWidth,minHeight,screenReaderFocusable,focusable,hint,labelFor,onInitializeAccessibilityNodeInfo,replaceAccessibilityAction,accessibilityLiveRegion,importantForAccessibility,hapticFeedbackEnabled,sendAccessibilityEvent,sendAccessibilityEventUnchecked,dispatchPopulateAccessibilityEvent,onPopulateAccessibilityEvent,onRequestSendAccessibilityEvent,onBindViewHolder,GP-score,GP-installs,CM-SumDIACodeElements,CM-IndexDIACodeElements,CM-SumIIACodeElements,CM-IndexIIACodeElements,CM-SumAllCodeElements,CM-IndexAllCodeElements,CM-SumPerceivableCodeElements,CM-SumOperableCodeElements,CM-SumUnderstandableCodeElements,CM-SumRobustCodeElements,AL-GetContentDescriptionOverride,AL-ClickableViewAccessibility,AL-ContentDescription,AL-KeyboardInaccessibleWidget,AL-LabelFor,AL-acc_issues,M-NonTextContent,M-LabelOrInstructions,M-IdentifyInputPurpose,M-ContrastMinimum,M-TargetSize,M-DuplicateContentDescription,M-Spacing,M-Orientation,M-PageTitled,M-acc_issues,W-perceivable_issues,W-operable_issues,W-understandable_issues,W-robust_issues,total_of_issues
pin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,6,2,11,5,7,3,1,0,0,1,2,1,0,4,2,0,0,0,2,0,4,1,0,9,5,7,0,1,13
piwigo-android,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.8510637,8053,18,6,14,3,32,9,25,5,1,1,0,0,0,0,2,2,0,2,0,9,0,0,0,1,1,13,10,1,4,0,15
planes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12262,16,2,6,1,22,3,21,1,0,0,0,3,0,0,0,3,9,0,0,6,6,0,2,1,0,24,16,8,0,3,27
presencepublisher,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,35,3,1,6,2,9,3,5,0,0,4,0,0,0,0,0,0,1,1,1,3,15,0,0,1,1,23,6,16,1,0,23
privacy-friendly-2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.714286,641,32,1,70,2,102,3,102,0,0,0,0,9,59,0,0,68,151,0,0,61,100,0,2,6,0,320,277,102,0,9,388
privacy-friendly-boardgame-clock,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,42,62,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,307,75,3,108,3,183,6,178,0,1,4,0,1,24,0,1,26,26,4,0,16,10,0,0,8,4,68,74,14,5,1,94
privacy-friendly-circuit-training-exercises,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,34,62,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3.6666667,1890,65,4,101,3,166,7,158,0,3,5,0,1,34,6,0,41,26,5,1,41,34,0,0,6,6,119,108,46,5,1,160
privacy-friendly-dame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6666667,475,11,1,24,2,35,3,35,0,0,0,0,0,10,0,0,10,141,0,0,9,2,0,0,3,1,156,163,3,0,0,166
privacy-friendly-finance-manager,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,29,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,4.428571,668,74,4,50,3,124,7,111,0,8,5,0,8,14,0,2,24,15,7,0,71,31,0,0,6,5,135,106,36,9,8,159
privacy-friendly-food-tracker,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,41,26,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,0,0,0,0,0,0,0,1,2.5,293,52,4,69,4,121,8,107,1,12,1,0,2,14,0,0,16,11,3,0,57,10,0,2,2,0,85,84,12,3,2,101
privacy-friendly-interval-timer,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,35,76,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.076923,2518,78,3,113,3,191,6,189,0,0,2,0,1,26,5,6,38,22,5,1,35,23,0,2,6,5,99,90,35,11,1,137
privacy-friendly-minesweeper,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,21,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,4.4666667,903,65,3,56,3,121,6,116,0,2,3,0,0,18,0,0,18,20,0,0,23,5,0,0,4,2,54,65,7,0,0,72
privacy-friendly-wifi-manager,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,19,23,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2390,19,4,47,5,66,9,61,1,1,3,0,2,7,0,1,10,6,1,0,20,8,0,0,2,1,38,35,9,2,2,48
pslab-android,21,0,0,0,0,2,0,0,53,0,0,0,0,0,0,0,419,376,1,435,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,4.73,2343,526,6,804,5,1330,11,1307,8,10,5,0,3,47,5,42,97,17,8,1,38,23,0,0,7,5,99,110,33,50,3,196
quickref,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.58,41574,7,1,10,3,17,4,16,0,0,1,0,0,2,1,0,3,2,0,0,19,4,0,9,2,0,36,25,14,0,0,39
redreader,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,31,23,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1,0,0,0,0,0,0,0,0,0,9,3.463768,10104,54,5,65,4,119,9,99,2,8,10,0,9,6,1,5,21,14,3,0,150,141,0,2,6,4,320,176,148,8,9,341
rsandroidapp,13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,22,12,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4.909091,297,63,4,35,3,98,7,87,1,10,0,0,0,6,0,4,10,14,6,0,7,26,0,2,6,4,65,33,32,10,0,75
rxdroid,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,13,4,0,3,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.48,14195,13,6,19,4,32,10,25,6,1,0,0,1,19,2,1,23,14,5,0,121,14,0,2,4,4,164,158,22,6,1,187
safeprice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,1,1,13,6,7,0,0,13
sdbviewer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,631,2,1,3,2,5,3,4,0,0,1,0,0,0,0,0,0,3,3,1,8,5,0,4,3,2,29,15,11,3,0,29
secondscreen,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,22,25,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8321168,941570,36,4,49,3,85,7,84,0,1,0,0,0,5,1,2,8,2,2,0,10,4,0,2,3,3,26,20,10,4,0,34
secure-quick-reliable-login,25,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,36,53,0,35,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,1,4.7647057,3872,148,6,91,4,239,10,177,30,31,1,0,0,28,0,0,28,12,0,0,46,6,0,0,10,2,76,96,8,0,0,104
selfnet-wificonfig,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,6,4,2,2,8,6,6,0,2,0,0,0,0,0,0,0,3,0,0,6,4,0,3,1,1,18,10,8,0,0,18
shelter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.82,34338,1,1,5,3,6,4,5,0,0,1,0,0,1,1,0,2,0,0,0,2,0,0,2,1,1,6,4,4,0,0,8
simple-keyboard,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,2,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.388889,363873,20,3,12,3,32,6,32,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,2,1,1,0,2,4
simply-pace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.7777777,1435,0,0,5,3,5,3,4,0,0,1,0,0,1,0,0,1,2,0,0,14,17,0,0,3,1,37,20,18,0,0,38
sine-android,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,27710,13,1,31,3,44,4,44,0,0,0,0,4,6,0,0,10,11,0,0,150,190,0,0,6,1,358,173,191,0,4,368
siteswap_generator,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3333335,693,22,2,0,0,22,2,22,0,0,0,0,0,0,0,18,18,8,21,0,19,44,0,19,3,3,117,30,66,39,0,135
sleepywifi,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,497,8,2,4,2,12,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,8,4,4,0,0,8
sumatoradictionary,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,16,6,3,12,3,18,6,15,0,1,2,0,0,0,1,0,1,3,0,0,9,4,0,0,2,0,18,14,5,0,0,19
syncthing-android-fdroid,23,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,44,36,0,42,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,13,0,0,0,0,2,0,0,0,0,0,0,2,4.47,10800,93,8,87,5,180,13,155,8,13,4,0,0,0,0,0,0,3,0,0,20,0,0,2,1,0,26,24,2,0,0,26
tedit,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,13,0,78,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,1273,91,5,27,3,118,8,103,15,0,0,0,4,55,1,2,62,43,5,1,11,17,0,0,1,1,79,111,19,7,4,141
termbot,40,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,13,3,0,6,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,0,0,5,2,0,3,1,0,0,0,3,4.1549296,6576,98,11,29,6,127,17,88,6,19,14,0,6,1,0,12,19,67,8,1,37,46,0,0,6,6,171,112,52,20,6,190
todoagenda,15,0,0,1,0,2,0,0,5,0,0,0,0,2,0,0,11,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4.49,23470,34,6,23,4,57,10,51,0,4,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,3,2,1,1,0,4
towercollector,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,8,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,54673,3,2,22,3,25,5,25,0,0,0,0,0,0,30,0,30,15,0,0,2,10,0,0,2,2,31,19,42,0,0,61
trekarta,1,0,0,9,0,17,0,0,6,0,0,0,0,0,0,0,50,54,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,4.31,1906,37,5,123,5,160,10,151,1,7,1,0,1,54,4,0,59,23,2,1,30,14,0,2,3,1,76,111,21,2,1,135
unicodepad,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3860626,8005903,14,4,9,4,23,8,21,1,1,0,0,5,0,0,1,6,2,10,1,8,608,0,36,3,3,671,14,647,11,5,677
video-transcoder,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,113,16,0,70,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,3.17,62949,106,7,129,2,235,9,214,4,15,2,0,0,5,0,2,7,1,1,0,6,37,0,2,2,2,51,14,41,3,0,58
volume_control_android,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,4,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.16,59998,10,4,14,4,24,8,19,3,2,0,0,0,2,0,1,3,1,0,0,11,9,0,0,3,2,26,17,11,1,0,29
weatherradar,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2666667,3687,2,2,5,1,7,3,7,0,0,0,0,0,0,0,0,0,6,5,0,27,12,0,0,3,3,56,36,15,5,0,56
wifisetup,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.5689654,10530,6,4,0,0,6,4,4,0,2,0,0,0,0,0,0,0,2,2,0,5,6,0,0,1,1,17,8,7,2,0,17
wonderdroid-x,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,51444,7,2,7,3,14,5,13,1,0,0,0,1,0,0,0,1,16,2,1,17,8,0,2,2,2,50,36,12,2,1,51
world-scribe,13,0,0,0,0,9,0,0,19,0,0,0,0,0,0,0,89,110,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,7,4.15,70894,143,4,216,5,359,9,333,1,18,7,0,0,7,11,6,24,3,9,1,101,55,0,0,7,5,181,119,71,15,0,205
yalpstore,80,0,0,5,0,0,0,0,29,0,0,0,0,0,0,0,89,33,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,2,0,0,0,0,0,0,0,0,281,441,6,123,3,564,9,519,1,42,2,0,0,14,0,0,14,25,12,2,21,70,2,4,7,7,150,71,81,12,0,164
your-local-weather,61,0,0,20,0,26,0,0,7,0,0,0,0,0,0,0,71,70,0,115,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,3.9482758,5491,211,7,173,4,384,11,372,0,6,6,0,23,13,0,7,43,19,2,1,56,16,0,0,5,3,102,94,19,9,23,145
